,index,map_id,team1_id,team2_id,map_name,pred
0,713,309,5973,5752,Dust2,0.5253849921038661
1,714,541,5973,5752,Vertigo,0.5240220001381383
2,715,1,8297,7020,Nuke,0.5184286766799493
3,716,392,8297,7020,Mirage,0.5261028989680043
4,717,684,8297,7020,Overpass,0.5143942352063228
5,718,85,4494,4411,Vertigo,0.46710680591873854
6,719,314,4494,4411,Inferno,0.49715273391181786
7,720,403,4494,4411,Mirage,0.5040193882823357
8,721,125,4608,7718,Inferno,0.5112723284427813
9,722,241,4608,7718,Mirage,0.5068691107597337
10,723,489,4608,7718,Overpass,0.5070468615753406
11,724,678,6665,6667,Overpass,0.5184544608439258
12,725,334,6665,6667,Inferno,0.5117653330848064
13,726,216,5973,8297,Ancient,0.4949963804709316
14,727,143,5973,8297,Mirage,0.4924956582732356
15,728,413,4494,6665,Mirage,0.42864382022300357
16,729,466,4494,6665,Nuke,0.4262774065503131
17,730,45,4494,6665,Ancient,0.42844766142973506
18,731,518,7718,5973,Ancient,0.4312023654579515
19,732,220,7718,5973,Inferno,0.4274281531898973
20,733,614,7718,5973,Vertigo,0.5047830656751602
21,734,246,4608,6665,Nuke,0.5035031465410721
22,735,652,4608,6665,Mirage,0.5053317108862682
23,736,86,6667,7718,Ancient,0.5017592516529883
24,737,628,6667,7718,Nuke,0.50454941045303
25,738,515,4608,6667,Inferno,0.5185764311255004
26,739,201,4608,6667,Overpass,0.5241946141476018
27,740,674,4608,6667,Ancient,0.5271267982510724
28,741,357,4608,6667,Mirage,0.5189497672248116
29,742,593,4608,6667,Nuke,0.5208429662516968
