,index,map_id,team1_id,team2_id,map_name,pred
0,713,309,5973,5752,Dust2,0.83607054
1,714,541,5973,5752,Vertigo,0.81990844
2,715,1,8297,7020,Nuke,0.46353036
3,716,392,8297,7020,Mirage,0.61696935
4,717,684,8297,7020,Overpass,0.5973681
5,718,85,4494,4411,Vertigo,0.45664567
6,719,314,4494,4411,Inferno,0.5346223
7,720,403,4494,4411,Mirage,0.514973
8,721,125,4608,7718,Inferno,0.5273124
9,722,241,4608,7718,Mirage,0.5775412
10,723,489,4608,7718,Overpass,0.3997078
11,724,678,6665,6667,Overpass,0.688675
12,725,334,6665,6667,Inferno,0.74296063
13,726,216,5973,8297,Ancient,0.30449808
14,727,143,5973,8297,Mirage,0.3963961
15,728,413,4494,6665,Mirage,0.3520521
16,729,466,4494,6665,Nuke,0.13822532
17,730,45,4494,6665,Ancient,0.18360466
18,731,518,7718,5973,Ancient,0.16388625
19,732,220,7718,5973,Inferno,0.30093896
20,733,614,7718,5973,Vertigo,0.4592132
21,734,246,4608,6665,Nuke,0.31678843
22,735,652,4608,6665,Mirage,0.44469488
23,736,86,6667,7718,Ancient,0.5879208
24,737,628,6667,7718,Nuke,0.51119703
25,738,515,4608,6667,Inferno,0.8250213
26,739,201,4608,6667,Overpass,0.8526827
27,740,674,4608,6667,Ancient,0.77535915
28,741,357,4608,6667,Mirage,0.69450665
29,742,593,4608,6667,Nuke,0.5920962
